$document group,$document name,ID,$site,$Country,date,general role,4.2a) Who are your main supplier of octopus?  [denoted for Supplier 1],"main supplier is a fisher? (1 is yes, 0 is no)",location biggest? and smallest? [Supplier 1],Gender [Supplier 1],4.2b) how many of each of these types of supplier do you work with?)  [Supplier 1],Average number of suppliers (calculated from averaging 4.2b),4.2c) Have you worked with them for long? [Supplier 1],Average number of years worked together,4.2d Kaz Quality [Supplier 1],4.2d kaz Quantity [Supplier 1],4.2d kaz price/kg [Supplier 1],4.2d kaz price/kg [Supplier 1] EDITED in KES or TSH depending on country,Calculated profit margin per kg in home country currency,Calculated profit margin per kg in USD during Kazi using the conversion rates 2241.6882771832 and 103.1033080415,4.2d kaz week/month [Supplier 1],Calculated average Kazi quantity in kg per month [Supplier 1] ,Calculated average Kazi Season quantity in kg Supplier 1 (per month *6),Calculated average Kazi  Season quantity in kg Supplier 1 (per month *6) in metric tonnes,Calculated per Kazi Season gross profit earned from Supplier 1. (Profit margin for Kazi from Supplier 1 in their home country currency * kg quantity from Supplier 1 per Kazi season),4.2d Kusi Quality [Supplier 1],4.2d kusi Quantity [Supplier 1],4.2d kusi price/kg [Supplier 1],4.2d kusi price [Supplier 1] EDITED in TNZ or KES depending on country,KUSI/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 1 in home country currency : average kusi selling price/kg- average buying price/kg,4.2d kusi week/month [Supplier 1],Calculated average Kusi quantity in kg per month [Supplier 1],Calculated average Kusi Season quantity in kg [Supplier 1] (per month *6),Calculated average Kusi Season quantity in kg [Supplier 1] (per month *6) in metric tonnes,Calculated PER KUSI Season GROSS PROFIT EARNED FROM SUPPLIER 1: (PROFIT MARGIN/KG*KG QUANTITY PER KUSI),4.2a) Who are your 2nd main supplier of octopus?  *Denoted as supplier 2,2nd main supplier edited,For supplier 2: location biggest? and smallest?,For supplier 2: Gender,For supplier 2:  4.2b) how many of each of these types of supplier do you work with?) ,Total number of fishers supplying interviewee (calculated from supplier 1 and 2),Total number of traders supplying interviewee (calculated supplier 1 and 2),Total number of suppliers main and secondary (as calculated),For supplier 2: 4.2c) Have you worked with them for long?,For supplier 2:  4.2d )Kaz Quality,For supplier 2: 4.2d kazi Quantity,For supplier 2: 4.2d) kaz price/kg,For supplier 2: 4.2d) kaz price/kg EDITED,KAZI/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 2: in home country currency  (average kazi selling price/kg- average buying price/kg),For supplier 2: 4.2d) kaz week/month,Calculated average Kazi quantity in kg per month [Supplier 2],Calculated average Kazi  Season quantity in kg  [Supplier 2] *6 months,Calculated average Kazi Season quantity in kg  [Supplier 2] *6 months in metric tonnes,Calculated PER KAZI Season GROSS PROFIT EARNED FROM SUPPLIER 2: (PROFIT MARGIN/KG*KG QUANTITY PER KAZI,For supplier 2: 4.2d) Kusi Quality,For supplier 2: 4.2d) kusi Quantity,For supplier 2:  4.2d) kusi price/kg,For supplier 2:  4.2d) kusi price/kg EDITED,Kusi/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 2 in home country currency : average kusi selling price/kg- average buying price/kg,For supplier 2:  4.2d) kusi week/month,Calculated average Kusi quantity in kg per month [Supplier 2],Calculated average Kusi Season quantity in kg per KUSI [Supplier 2] *6 months,Calculated average Kusi Season quantity in kg per month [Supplier 2] *6 months in metric tonnes,Calculated PER KUSI Season GROSS PROFIT EARNED FROM SUPPLIER 2: (PROFIT MARGIN/KG*KG QUANTITY PER KUSI),Calculated TOTAL PER KAZI Season GROSS PROFIT in home country currency EARNED FROM SUPPLIER 1& 2,Calculated TOTAL PER KUSI Season GROSS PROFIT in home country currency EARNED FROM SUPPLIER 1& 2,TOTAL KUSI Season GROSS PROFIT IS WHAT PROPORTION OF KAZI Season GROSS PROFIT (total kusi gross profit/total kazi gross profit),CALCULATED YEARLY GROSS PROFIT (TOTAL KAZI SEASON GROSS PROFIT +TOTAL KUSI SEASON GROSS PROFIT) in TZS or KES depending on country,Calculated Kazi season gross profit USD,Calculated Kusi season gross profit USD, CALCULATED YEARLY GROSS PROFIT (TOTAL KAZI SEASON GROSS PROFIT +TOTAL KUSI SEASON GROSS PROFIT) in USD using SEPT conversion rates of 2241.6882771832 and 103.1033080415 ,CALCULATED YEARLY QUANTITY TRADED BY RESPONDENT: (Quantity from supplier 1 and 2/Kazi +Quantity supplier 1 and 2/Kusi) in metric tonnes,5.1a main buyers-domestic,"5.1b octopus product type wanted (** for interviewees this is all fresh) There is a dry local market but at different locations.- none going for export.  We heard of it and observed but did not get into it (the mzungu initial starting price is 20,000 TSH per dry octopus)",5.1c kaz quality,5.1c kaz quantity,5.1c kaz week/month,5.1c kaz price/kg,5.1c Kazi Buying price/kg in home country currency EDITED (used for profit margin calculations),5.1c kusi quality,5.1c kusi price/kg,5.1c kusi Buying price/kg in home country currency EDITED (used for profit margin calculations)
Company agent,OA/MAY/18102017/1,P7,Mayungu ,Kenya,18/10/2017,Company agent,traders,0,"Kivulini, Mayungu and Mawe ya kati",male,3,3,3 yrs,3,fresh,600-700kg,240KES,240,28,0.27,week,2600,15600,15.6,429000,Fresh,40kg,240KES,240,28,week,160,960,0.96,26400,,none,,,,0,3,3,,,,,,,,,,,,,,,,,,,,,,429000,26400,6%,455400," $4,160.88 ", $256.05 ," $4,416.93 ",16.56,Crustaceans processors and consumers,big(company) and small (consumers),fresh,,,Company (270KES) consumer (260-270KES),267.5,fresh,Company (270) consumer (260-270),267.5
Company agent,OA/MAY/16102017/1,P8,Mayungu ,Kenya,16/10/2017,Company agent,fishers ,1,Mayungu,male,20,20,17 yrs,17,fresh,1200kg,200KES,200,30,0.29,week,4800,28800,28.8,864000,Fresh,40kg,200KES,200,30,week,160,960,0.96,28800,,none,,,,20,0,20,,,,,,,,,,,,,,,,,,,,,,864000,28800,3%,892800," $8,379.94 ", $279.33 ," $8,659.28 ",29.76,Sea Harvest and Consumers,big octopus,fresh,,,company-240KES consumers-220KES,230,fresh,"company-240KES,consumers-220KES",230
small-scale trader,OT/MAY/17102017/2,P9,Mayungu ,Kenya,17/10/2017,Octopus trader,fishers ,1,Mayungu and Kivulini,male,5,5,10 yrs,10,fresh,20-30kg,220KES,220,20,0.19,week,100,600,0.6,12000,Fresh,0-10kg,220KES,220,20,week,20,120,0.12,2400,,none,,,,5,0,5,,,,,,,,,,,,,,,,,,,,,,12000,2400,20%,14400, $116.39 , $23.28 , $139.67 ,0.72,Agent in Malindi,big octopus,fresh,,,240KES,240,fresh,240,240
small-scale trader,OT/MAY/17102017/1,P10,Mayungu ,Kenya,17/10/2017,Octopus trader,fishers ,1,Mayungu,male,10 (1 boat has 6 and the other has 4),10,5 yrs,5,fresh,40-60kg,200KES,200,50,0.48,week,200,1200,1.2,60000,Fresh,0-20kg,200KES,200,50,week,40,240,0.24,12000,,none,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,60000,12000,20%,72000, $581.94 , $116.39 , $698.33 ,1.44,Agent in Malindi,big octopus,fresh,,,250KES,250,fresh,250KES,250
small-scale trader,OT/MAY/18102017/1,P11,Mayungu ,Kenya,18/10/2017,Octopus trader,fishers ,1,"Mawe ya kati, Mayungu",male,7,7,8 yrs,8,fresh,120kg,200KES,200,30,0.29,week,480,2880,2.88,86400,Fresh,48kg,200KES,200,30,week,192,1152,1.152,34560,,none,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,86400,34560,40%,120960, $837.99 , $335.20 ," $1,173.19 ",4.032,4 fish shops/Agents in Malindi,big octopus,fresh,,,230KES,230,fresh,230KES,230
small-scale trader,OT/MOM/12102017/2,P12,Mombasa,Kenya,12/10/17,Octopus trader,fishers ,1,"Bamburi,mombasa.",male,7,7,1yrs,1,fresh,30kg,200KES,200,62,0.60,week,120,720,0.72,44640,fresh,8-10kg,200KES,200,62,week,36,216,0.216,13392,,none,,,,7,0,7,,,,,,,,,,,,,,,,,,,,,,44640,13392,30%,58032, $432.96 , $129.89 , $562.85 ,0.936,Fish shop and consumers,Big octopus and small for consumers.,fresh,,,more-240KESto fish shop. less-350KES to consumers.,262,,more-240KES to fish shop. less-350KES to consumers.,262
small-scale trader,OT/MOM/12102017/1,P13,Mombasa,Kenya,12/10/17,Octopus trader,fishers ,1,"Bamburi,mombasa.",male,2,2,2 yrs,2,fresh,40kg,200KES,200,100,0.97,week,160,960,0.96,96000,fresh,12-40kg,200KES,200,100,week,104,624,0.624,62400,,none,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,96000,62400,65%,158400, $931.10 , $605.22 ," $1,536.32 ",1.584,Consumers,big octopus,fresh,,,300KES,300,fresh,300KES,300
Company agent,OT/SHI/25082017/1,P21,Shimoni,Kenya,25/08/2017,Company agent,fishers ,1,Shimoni,male,30,30,10 yrs,10,Good,1000kg,170KES,170,80,0.78,month,1000,6000,6,480000,Good,1000kg,170KES,170,80,month,1000,6000,6,480000,Dealers(Traders),traders,"Mkwiro, Wasini, Kibuyuni",m,8,30,8,38,6 yrs (seasonal 1 month),good,200kg,220KES,220,30,month,200,1200,1.2,36000,Good,200kg,220KES,220,30,month,200,1200,1.2,36000,516000,516000,100%,1032000," $5,004.69 "," $5,004.69 "," $10,009.38 ",14.4,Sea harvest ltd- exporters,octopus,good,1000kg/month,month,250KES,250,good,250KES,250
Company agent,OT/SHI/25082017/3,P22,Shimoni,Kenya,25/08/2017,Company agent,fishers ,1,only in shimoni,male,25,25,1.5 years,1.5,always the same price no matter the size,700kg,220KES,220,20,0.19,month,700,4200,4.2,84000,Good,700,220KES,220,20,month,700,4200,4.2,84000,Dealers(Traders) (south side island),traders,"South side of Wasini, Kibuyuni",m,6,25,6,31,,,300 or 500 ,230KES,230,10,month,400,2400,2.4,24000,Good,300-500kg depending on weather,230KES,230,10,month,400,2400,2.4,24000,108000,108000,100%,216000," $1,047.49 "," $1,047.49 "," $2,094.99 ",13.2,Transafrica,octopus (Transafrica can same some octopus is too small),,1200kg/month,month,240KES,240,,240KES,240
Company agent,OT/SHI/25082017/2,P23,Shimoni,Kenya,25/08/2017,Company agent,fishers ,1,Shimoni,male,40,40,6 yrs,6,good/fresh,400-600kg,200KES and @ 220KES when buy from private fishers,200,75,0.73,week,2000,12000,12,900000,Good,400-600kg,200KES,200,75,week,2000,12000,12,900000,Traders,traders,"Pemba, Tz",m,2,40,2,42,more than 12 yrs,good/fresh,600-800kg,250KES,250,25,week,2800,16800,16.8,420000,Good,600-800kg,250KES,250,25,week,2800,16800,16.8,420000,1320000,1320000,100%,2640000," $12,802.69 "," $12,802.69 "," $25,605.39 ",57.6,Sea harvest ltd,octopus,fresh,"400-600kg, 600-800kg/ week",week,250-300KES,275,good,250-300KES,275
